,,,What is the average duration in minutes for each album?
,,,
Album_ID,Album_title,Avg_length,
253,"Battlestar Galactica (Classic), Season 1",48.13,
227,"Battlestar Galactica, Season 3",45.63,
229,"Lost, Season 3",44.5,
231,"Lost, Season 2",43.46,
226,Battlestar Galactica: The Story So Far,43,
228,"Heroes, Season 1",42.91,
230,"Lost, Season 1",42.68,
254,Aquaman,41,
261,"LOST, Season 4",38.24,
251,"The Office, Season 3",25.16,
249,"The Office, Season 1",21.83,
250,"The Office, Season 2",21.32,
50,The Final Concerts (Disc 2),15,
138,The Song Remains The Same (Disc 2),12,
198,Santana Live,10.67,
137,The Song Remains The Same (Disc 1),9.2,
208,[1997] Black Light Syndrome,9,
279,Handel: The Messiah (Highlights),9,
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,9,
299,Scheherazade,9,
